,Title,Year,IMDb_Rating,Keywords
223,Les chaussons rouges,1948,8.2,"['ballet', 'ballerina', 'dancer', 'dance', 'composer']"
224,Rebecca,1940,8.1,"['widower', 'unhappy marriage', 'haunted by the past', 'castle', 'costume party']"
225,Rocky,1976,8.1,"['boxer', '1970s', 'fistfight', 'boxing', 'training']"
226,Mademoiselle,2016,8.1,"['lesbianism', 'female nudity', 'nudity', 'sex scene', 'bare breasts']"
227,Le gouffre aux chimères,1951,8.2,"['media manipulation', 'newspaper', 'cave', 'new mexico', 'media circus']"
228,Monstres & Cie,2001,8.0,"['original story', 'monster', 'interspecies friendship', 'heartfelt', 'abominable snowman character']"
229,L'enfer est à lui,1949,8.2,"['gangster', 'psychopath', 'trojan horse', 'prison', 'chemical plant']"
230,New York - Miami,1934,8.1,"['spoiled brat', 'piggy back ride', 'haystack', 'bus', 'reporter']"
231,La haine,1995,8.1,"['police', 'arab', 'gun', 'ghetto', 'riot']"
232,The Irishman,2019,8.1,"['nonlinear timeline', 'criminal as protagonist', 'killer as protagonist', 'murder', 'truck driver']"
233,Drishyam,2013,8.4,"['murder investigation', 'investigation', 'blackmail', 'man missing', 'corpse']"
234,Lagaan,2001,8.1,"['british', 'based on supposedly true story', 'cricket the sport', 'indian freedom movement', 'british raj']"
235,Gangs of Wasseypur,2012,8.2,"['revenge', 'blood', 'gun', 'abuse', 'gangster']"
236,Princess Bride,1987,8.1,"['true love', 'giant', 'fairy tale', 'pirate', 'princess']"
237,Before Sunset,2004,8.0,"['conversations', 'brief encounter', 'enduring relationship', 'ambiguous ending', 'sequel']"
238,La couleur des sentiments,2011,8.1,"['chocolate pie', 'writer', 'newspaper columnist', 'aging', 'first job']"
239,In the Mood for Love,2000,8.1,"['adultery', 'loneliness', 'neighbor', 'infidelity', 'hong kong']"
240,Butch Cassidy et le Kid,1969,8.0,"['outlaw', 'bolivia', 'fast draw', 'bank robbery', 'outlaw gang']"
241,P.K.,2014,8.1,"['religion', 'tv reporter', 'alien on earth', 'papadum', 'muslim']"
242,Terminator,1984,8.0,"['robotics', 'cyborg', 'time travel', 'future war', 'nudity']"
243,Akira,1988,8.1,"['cyberpunk', 'post thermonuclear war', 'biker gang', 'gifted child', 'science runs amok']"
244,"Paris, Texas",1984,8.1,"['father son relationship', 'desert', 'texas', 'wandering', 'mute']"
245,Aladdin,1992,8.0,"['arab', 'genie', 'genie character', 'princess', 'cave']"
246,L'accusé,2016,8.1,"['repeated scene from a different perspective', 'giallo', 'spanish giallo', 'lawyer', 'businessman']"
247,La bataille d'Alger,1966,8.1,"['battle of algiers', 'algeria', 'resistance', 'struggle for independence', 'street fighter']"
248,Le château dans le ciel,1986,8.0,"['lost civilization', 'studio ghibli', 'little girl', 'family secret', 'tied up']"
249,Les gardiens de la galaxie,2014,8.0,"['outer space', 'bounty hunter', 'tree', 'talking animal', 'raccoon']"
